Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-19 00:00:00+05:30,2708.0,2748.699951171875,2666.60009765625,2677.89990234375,3238849,0.0,0.0
2026-02-20 00:00:00+05:30,2667.0,2702.60009765625,2647.5,2686.199951171875,2293482,0.0,0.0
2026-02-23 00:00:00+05:30,2686.0,2704.0,2660.199951171875,2676.300048828125,4699596,0.0,0.0
2026-02-24 00:00:00+05:30,2641.0,2647.5,2561.300048828125,2573.699951171875,7798833,0.0,0.0
2026-02-25 00:00:00+05:30,2596.0,2654.199951171875,2595.0,2629.300048828125,3621285,0.0,0.0
2026-02-26 00:00:00+05:30,2650.0,2671.0,2635.0,2647.699951171875,3464267,0.0,0.0
2026-02-27 00:00:00+05:30,2681.60009765625,2688.60009765625,2626.10009765625,2637.39990234375,5083717,0.0,0.0
2026-03-02 00:00:00+05:30,2592.0,2623.800048828125,2580.300048828125,2613.5,3374385,0.0,0.0
2026-03-04 00:00:00+05:30,2625.0,2635.0,2580.39990234375,2587.800048828125,3446434,0.0,0.0
2026-03-05 00:00:00+05:30,2600.0,2609.5,2546.39990234375,2578.800048828125,2960636,0.0,0.0
2026-03-06 00:00:00+05:30,2572.0,2619.199951171875,2553.60009765625,2557.60009765625,3998643,0.0,0.0
2026-03-09 00:00:00+05:30,2530.0,2560.0,2505.0,2527.39990234375,3653428,0.0,0.0
2026-03-10 00:00:00+05:30,2541.0,2545.199951171875,2490.10009765625,2513.10009765625,4323710,0.0,0.0
2026-03-11 00:00:00+05:30,2508.10009765625,2521.0,2460.10009765625,2464.89990234375,2720664,0.0,0.0
2026-03-12 00:00:00+05:30,2459.800048828125,2472.89990234375,2436.0,2442.39990234375,2752075,0.0,0.0
2026-03-13 00:00:00+05:30,2437.0,2445.89990234375,2397.0,2410.5,2466488,0.0,0.0
2026-03-16 00:00:00+05:30,2410.0,2425.0,2366.10009765625,2409.199951171875,3807907,0.0,0.0
2026-03-17 00:00:00+05:30,2420.0,2420.0,2360.0,2391.699951171875,2993367,0.0,0.0
2026-03-18 00:00:00+05:30,2410.0,2482.89990234375,2410.0,2440.800048828125,3082388,0.0,0.0
2026-03-19 00:00:00+05:30,2417.0,2424.0,2350.199951171875,2356.0,2756817,0.0,0.0
